,Unnamed: 0,idx,rsmi,psmi,rinchi,pinchi,dE0,dHrxn298,rmg_family,rxn_smiles,rxn_smiles_random,rxn_smiles_rxnmapper,rxn_smiles_nomapping
10,10,11,[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C:3]([H:10])([H:11])[C@:4]1([H:12])[C:5]([H:13])([H:14])[C:6]2([H:15])[H:16],[C:1]1([H:7])([H:8])[C:2][C:3]([H:10])([H:11])[C:4]1([C:5]([C:6]([H:9])([H:15])[H:16])([H:13])[H:14])[H:12],"InChI=1S/C6H10/c1-2-6-3-5(1)4-6/h5-6H,1-4H2/t5-,6+","InChI=1S/C6H10/c1-2-6-4-3-5-6/h6H,2,4-5H2,1H3",81.42548,78.73379,,[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C:3]([H:10])([H:11])[C@:4]1([H:12])[C:5]([H:13])([H:14])[C:6]2([H:15])[H:16]>>[C:1]1([H:7])([H:8])[C:2][C:3]([H:10])([H:11])[C:4]1([C:5]([C:6]([H:9])([H:15])[H:16])([H:13])[H:14])[H:12],[C@@:1]12([H:14])[C:3]([H:10])([H:12])[C:5]([H:7])([H:16])[C@@:2]([H:15])([C:4]1([H:9])[H:11])[C:6]2([H:8])[H:13]>>[C:1]1([H:7])([H:8])[C:2][C:3]([H:10])([H:11])[C:4]1([C:5]([C:6]([H:9])([H:15])[H:16])([H:13])[H:14])[H:12],[CH2:1]1[CH2:2][C@H:3]2[CH2:4][C@@H:5]1[CH2:6]2>>[CH3:1][CH2:2][CH:3]1[CH2:4][C:5][CH2:6]1,[C]1([H])([H])[C@@]2([H])[C]([H])([H])[C@]1([H])[C]([H])([H])[C]2([H])[H]>>[C]1([H])([H])[C][C]([H])([H])[C]1([C]([C]([H])([H])[H])([H])[H])[H]
11,11,12,[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],[O:1]([c:2]1[n:3]([H:9])[c:4]([H:8])[n:5][n:6]1)[H:7],"InChI=1S/C2H3N3O/c6-2-3-1-4-5-2/h1H,(H2,3,4,5,6)","InChI=1S/C2H3N3O/c6-2-3-1-4-5-2/h1H,(H2,3,4,5,6)",58.54008,6.80657,,[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7]>>[O:1]([c:2]1[n:3]([H:9])[c:4]([H:8])[n:5][n:6]1)[H:7],[O:1]([c:4]1[n:5]([H:9])[n:6][c:2]([H:8])[n:3]=1)[H:7]>>[O:1]([c:2]1[n:3]([H:9])[c:4]([H:8])[n:5][n:6]1)[H:7],[OH:1][c:2]1[nH:3][n:4][cH:5][n:6]1>>[OH:1][c:2]1[n:3][n:4][cH:5][nH:6]1,[O]([c]1=[n][c]([H])[n][n]1[H])[H]>>[O]([c]1[n]([H])[c]([H])[n][n]1)[H]
12,12,13,[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],[O:1]([C:2]1=[N+:5]([N-:6][H:9])[C:4]([H:8])=[N:3]1)[H:7],"InChI=1S/C2H3N3O/c6-2-3-1-4-5-2/h1H,(H2,3,4,5,6)","InChI=1S/C2H3N3O/c3-5-1-4-2(5)6/h1,3H,(H,4,6)",110.29537,102.41738,,[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7]>>[O:1]([C:2]1=[N+:5]([N-:6][H:9])[C:4]([H:8])=[N:3]1)[H:7],[O:1]([c:4]1[n:3]([H:8])[n:5][c:2]([H:7])[n:6]=1)[H:9]>>[O:1]([C:2]1=[N+:5]([N-:6][H:9])[C:4]([H:8])=[N:3]1)[H:7],[n:1]1[nH:5][c:3]([OH:4])[n:2][cH:6]1>>[NH-:1][N+:2]1=[C:3]([OH:4])[N:5]=[CH:6]1,[O]([c]1=[n][c]([H])[n][n]1[H])[H]>>[O]([C]1=[N+]([N-][H])[C]([H])=[N]1)[H]
13,13,14,[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],[O:1]([C@@:2]1([H:9])[N:3]=[C:4]([H:8])[N:5]=[N:6]1)[H:7],"InChI=1S/C2H3N3O/c6-2-3-1-4-5-2/h1H,(H2,3,4,5,6)","InChI=1S/C2H3N3O/c6-2-3-1-4-5-2/h1-2,6H/t2-/m0/s1",58.54715,36.16531,,[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7]>>[O:1]([C@@:2]1([H:9])[N:3]=[C:4]([H:8])[N:5]=[N:6]1)[H:7],[O:1]([c:4]1[n:6]([H:8])[n:5][c:2]([H:7])[n:3]=1)[H:9]>>[O:1]([C@@:2]1([H:9])[N:3]=[C:4]([H:8])[N:5]=[N:6]1)[H:7],[OH:1][c:2]1[n:3][cH:4][n:5][nH:6]1>>[OH:1][C@H:2]1[N:3]=[CH:4][N:5]=[N:6]1,[O]([c]1=[n][c]([H])[n][n]1[H])[H]>>[O]([C@@]1([H])[N]=[C]([H])[N]=[N]1)[H]
14,14,15,[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],[O:1]([c:2]1[n:3][c:4]([H:8])[n:5]([H:9])[n:6]1)[H:7],"InChI=1S/C2H3N3O/c6-2-3-1-4-5-2/h1H,(H2,3,4,5,6)","InChI=1S/C2H3N3O/c6-2-3-1-4-5-2/h1H,(H2,3,4,5,6)",48.00114,0.76804,,[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7]>>[O:1]([c:2]1[n:3][c:4]([H:8])[n:5]([H:9])[n:6]1)[H:7],[O:1]([c:2]1[n:3]([H:7])[n:6][c:4]([H:9])[n:5]=1)[H:8]>>[O:1]([c:2]1[n:3][c:4]([H:8])[n:5]([H:9])[n:6]1)[H:7],[OH:1][c:2]1[n:3][cH:4][n:5][nH:6]1>>[OH:1][c:2]1[n:3][cH:4][nH:5][n:6]1,[O]([c]1=[n][c]([H])[n][n]1[H])[H]>>[O]([c]1[n][c]([H])[n]([H])[n]1)[H]
15,15,16,[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],[O:1]([C:2]([N:3]=[C:4]=[N:5][H:8])=[N:6][H:9])[H:7],"InChI=1S/C2H3N3O/c6-2-3-1-4-5-2/h1H,(H2,3,4,5,6)","InChI=1S/C2H3N3O/c3-1-5-2(4)6/h3H,(H2,4,6)",75.62779,7.87437,,[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7]>>[O:1]([C:2]([N:3]=[C:4]=[N:5][H:8])=[N:6][H:9])[H:7],[O:1]([c:2]1[n:6]([H:7])[n:3][c:4]([H:9])[n:5]=1)[H:8]>>[O:1]([C:2]([N:3]=[C:4]=[N:5][H:8])=[N:6][H:9])[H:7],[n:1]1[cH:2][n:3][c:4]([OH:6])[nH:5]1>>[NH:1]=[C:2]=[N:3][C:4](=[NH:5])[OH:6],[O]([c]1=[n][c]([H])[n][n]1[H])[H]>>[O]([C]([N]=[C]=[N][H])=[N][H])[H]
16,16,17,[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],[O:1]=[c:2]1[n:3]([H:7])[c:4]([H:8])[n:5][n:6]1[H:9],"InChI=1S/C2H3N3O/c6-2-3-1-4-5-2/h1H,(H2,3,4,5,6)","InChI=1S/C2H3N3O/c6-2-3-1-4-5-2/h1H,(H2,3,4,5,6)",43.97984,-5.55296,ketoenol,[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7]>>[O:1]=[c:2]1[n:3]([H:7])[c:4]([H:8])[n:5][n:6]1[H:9],[O:1]([c:2]1[n:6]([H:7])[n:5][c:4]([H:8])[n:3]=1)[H:9]>>[O:1]=[c:2]1[n:3]([H:7])[c:4]([H:8])[n:5][n:6]1[H:9],[OH:1][c:2]1[n:3][cH:4][n:5][nH:6]1>>[O:1]=[c:2]1[nH:3][cH:4][n:5][nH:6]1,[O]([c]1=[n][c]([H])[n][n]1[H])[H]>>[O]=[c]1[n]([H])[c]([H])[n][n]1[H]
17,17,18,[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],[O:1]([C:2]1=[N:3][C@@:4]1(/[N:5]=[N:6]/[H:9])[H:8])[H:7],"InChI=1S/C2H3N3O/c6-2-3-1-4-5-2/h1H,(H2,3,4,5,6)","InChI=1S/C2H3N3O/c3-5-1-2(6)4-1/h1,3H,(H,4,6)/b5-3+/t1-/m1/s1",109.01599,71.18995,,[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7]>>[O:1]([C:2]1=[N:3][C@@:4]1(/[N:5]=[N:6]/[H:9])[H:8])[H:7],[O:1]([c:2]1[n:5]([H:8])[n:3][c:4]([H:9])[n:6]=1)[H:7]>>[O:1]([C:2]1=[N:3][C@@:4]1(/[N:5]=[N:6]/[H:9])[H:8])[H:7],[n:2]1[cH:4][n:3][c:6]([OH:7])[nH:5]1>>[H:1]/[N:2]=[N:3]/[C@H:4]1[N:5]=[C:6]1[OH:7],[O]([c]1=[n][c]([H])[n][n]1[H])[H]>>[O]([C]1=[N][C@@]1(/[N]=[N]/[H])[H])[H]
18,18,19,[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],[O:1]([C:2]([N+:3]#[C:4][H:8])[N:6]([N-:5])[H:9])[H:7],"InChI=1S/C2H3N3O/c6-2-3-1-4-5-2/h1H,(H2,3,4,5,6)","InChI=1S/C2H2N3O/c1-4-2(6)5-3/h1H,(H,5,6)/q-1/p+1",121.78099,117.6565,,[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7]>>[O:1]([C:2]([N+:3]#[C:4][H:8])[N:6]([N-:5])[H:9])[H:7],[O:1]([c:4]1[n:5]([H:9])[n:6][c:2]([H:8])[n:3]=1)[H:7]>>[O:1]([C:2]([N+:3]#[C:4][H:8])[N:6]([N-:5])[H:9])[H:7],[cH:1]1[n:2][c:3]([OH:4])[nH:5][n:6]1>>[CH:1]#[N+:2][C:3]([OH:4])[NH:5][N-:6],[O]([c]1=[n][c]([H])[n][n]1[H])[H]>>[O]([C]([N+]#[C][H])[N]([N-])[H])[H]
19,19,20,[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],[C:4](#[N+:5][N-:6][H:9])[H:8].[O:1]([C:2]#[N:3])[H:7],"InChI=1S/C2H3N3O/c6-2-3-1-4-5-2/h1H,(H2,3,4,5,6)",InChI=1S/CH2N2.CHNO/c1-3-2;2-1-3/h1-2H;3H,93.51989,86.2112,,[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7]>>[C:4](#[N+:5][N-:6][H:9])[H:8].[O:1]([C:2]#[N:3])[H:7],[O:1]([c:4]1[n:3]([H:8])[n:5][c:2]([H:9])[n:6]=1)[H:7]>>[C:4](#[N+:5][N-:6][H:9])[H:8].[O:1]([C:2]#[N:3])[H:7],[cH:1]1[n:2][nH:3][c:5]([OH:6])[n:4]1>>[CH:1]#[N+:2][NH-:3].[N:4]#[C:5][OH:6],[O]([c]1=[n][c]([H])[n][n]1[H])[H]>>[C](#[N+][N-][H])[H].[O]([C]#[N])[H]
20,20,22,[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],[O:1](/[C:2]([N:3]1[C:4]([H:8])=[N:5]1)=[N:6]\[H:9])[H:7],"InChI=1S/C2H3N3O/c6-2-3-1-4-5-2/h1H,(H2,3,4,5,6)","InChI=1S/C2H3N3O/c3-2(6)5-1-4-5/h1H,(H2,3,6)",85.91394,64.97956,,[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7]>>[O:1](/[C:2]([N:3]1[C:4]([H:8])=[N:5]1)=[N:6]\[H:9])[H:7],[O:1]([c:4]1[n:6]([H:7])[n:3][c:2]([H:8])[n:5]=1)[H:9]>>[O:1](/[C:2]([N:3]1[C:4]([H:8])=[N:5]1)=[N:6]\[H:9])[H:7],[nH:2]1[c:3]([OH:4])[n:5][cH:6][n:7]1>>[H:1]/[N:2]=[C:3](\[OH:4])[N:5]1[CH:6]=[N:7]1,[O]([c]1=[n][c]([H])[n][n]1[H])[H]>>[O](/[C]([N]1[C]([H])=[N]1)=[N]\[H])[H]
21,21,23,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7],[C:2]1([H:8])=[C:6]([H:16])[C:5]([H:13])([H:14])[C:4]([H:11])([H:12])[C:3]1([H:9])[H:10].[O:1]([H:7])[H:15],"InChI=1S/C5H10O/c6-5-3-1-2-4-5/h5-6H,1-4H2","InChI=1S/C5H8.H2O/c1-2-4-5-3-1;/h1-2H,3-5H2;1H2",63.20476,8.96873,"1,3_Insertion_ROR",[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7]>>[C:2]1([H:8])=[C:6]([H:16])[C:5]([H:13])([H:14])[C:4]([H:11])([H:12])[C:3]1([H:9])[H:10].[O:1]([H:7])[H:15],[O:1]([C:6]1([H:13])[C:2]([H:10])([H:12])[C:5]([H:14])([H:16])[C:3]([H:7])([H:15])[C:4]1([H:8])[H:9])[H:11]>>[C:2]1([H:8])=[C:6]([H:16])[C:5]([H:13])([H:14])[C:4]([H:11])([H:12])[C:3]1([H:9])[H:10].[O:1]([H:7])[H:15],[CH:1]1([OH:6])[CH2:2][CH2:3][CH2:4][CH2:5]1>>[CH:1]1=[CH:2][CH2:3][CH2:4][CH2:5]1.[OH2:6],[O]([C]1([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]1([H])[H])[H]>>[C]1([H])=[C]([H])[C]([H])([H])[C]([H])([H])[C]1([H])[H].[O]([H])[H]
