rxn_smiles,dE0
[C@@:1]12([H:12])[C:6]([H:3])([H:15])[C@@:5]([H:8])([C:4]([H:9])([H:14])[C:10]1([H:7])[H:16])[C:13]2([H:2])[H:11]>>[C:1]1([H:7])([H:8])[C:2][C:3]([H:10])([H:11])[C:4]1([C:5]([C:6]([H:9])([H:15])[H:16])([H:13])[H:14])[H:12],81.42548000000002
[n:1]1([H:9])[c:2]([O:5][H:6])[n:7][c:3]([H:8])[n:4]1>>[O:1]([c:2]1[n:3]([H:9])[c:4]([H:8])[n:5][n:6]1)[H:7],58.54008
[n:1]1([H:9])[c:2]([O:5][H:6])[n:7][c:3]([H:8])[n:4]1>>[O:1]([C:2]1=[N+:5]([N-:6][H:9])[C:4]([H:8])=[N:3]1)[H:7],110.29537
[n:1]1([H:9])[c:2]([O:5][H:6])[n:7][c:3]([H:8])[n:4]1>>[O:1]([C@@:2]1([H:9])[N:3]=[C:4]([H:8])[N:5]=[N:6]1)[H:7],58.54715
[n:1]1([H:9])[c:2]([O:5][H:6])[n:7][c:3]([H:8])[n:4]1>>[O:1]([c:2]1[n:3][c:4]([H:8])[n:5]([H:9])[n:6]1)[H:7],48.00114
[n:1]1([H:9])[c:2]([O:5][H:6])[n:7][c:3]([H:8])[n:4]1>>[O:1]([C:2]([N:3]=[C:4]=[N:5][H:8])=[N:6][H:9])[H:7],75.62779
[n:1]1([H:9])[c:2]([O:5][H:6])[n:7][c:3]([H:8])[n:4]1>>[O:1]=[c:2]1[n:3]([H:7])[c:4]([H:8])[n:5][n:6]1[H:9],43.97984
[n:1]1([H:9])[c:2]([O:5][H:6])[n:7][c:3]([H:8])[n:4]1>>[O:1]([C:2]1=[N:3][C@@:4]1(/[N:5]=[N:6]/[H:9])[H:8])[H:7],109.01599
[n:1]1([H:9])[c:2]([O:5][H:6])[n:7][c:3]([H:8])[n:4]1>>[O:1]([C:2]([N+:3]#[C:4][H:8])[N:6]([N-:5])[H:9])[H:7],121.78099
[n:1]1([H:9])[c:2]([O:5][H:6])[n:7][c:3]([H:8])[n:4]1>>[C:4](#[N+:5][N-:6][H:9])[H:8].[O:1]([C:2]#[N:3])[H:7],93.51989
[n:1]1([H:9])[c:2]([O:5][H:6])[n:7][c:3]([H:8])[n:4]1>>[O:1](/[C:2]([N:3]1[C:4]([H:8])=[N:5]1)=[N:6]\[H:9])[H:7],85.91394
[C:1]1([H:3])([H:12])[C:6]([H:8])([H:15])[C:5]([H:11])([O:13][H:2])[C:4]([H:9])([H:14])[C:10]1([H:7])[H:16]>>[C:2]1([H:8])=[C:6]([H:16])[C:5]([H:13])([H:14])[C:4]([H:11])([H:12])[C:3]1([H:9])[H:10].[O:1]([H:7])[H:15],63.20476
[C:1]1([H:3])([H:12])[C:6]([H:8])([H:15])[C:5]([H:11])([O:13][H:2])[C:4]([H:9])([H:14])[C:10]1([H:7])[H:16]>>[C:5](=[C:6]([H:15])[H:16])([H:13])[H:14].[O:1]([C:2]([C:3](=[C:4]([H:11])[H:12])[H:10])([H:8])[H:9])[H:7],107.75396
[C:1]1([H:3])([H:12])[C:6]([H:8])([H:15])[C:5]([H:11])([O:13][H:2])[C:4]([H:9])([H:14])[C:10]1([H:7])[H:16]>>[H:7][H:12].[O:1]=[C:2]([C:6]([C:5]([C:4](=[C:3]([H:9])[H:10])[H:11])([H:13])[H:14])([H:15])[H:16])[H:8],88.47536
[C:1]1([H:3])([H:12])[C:6]([H:8])([H:15])[C:5]([H:11])([O:13][H:2])[C:4]([H:9])([H:14])[C:10]1([H:7])[H:16]>>[C:4](=[C:5]([H:13])[H:14])([H:11])[H:12].[O:1]([C:2](=[C:3]([H:9])[H:10])[C:6]([H:8])([H:15])[H:16])[H:7],106.66318
[C:1]1([H:3])([H:12])[C:6]([H:8])([H:15])[C:5]([H:11])([O:13][H:2])[C:4]([H:9])([H:14])[C:10]1([H:7])[H:16]>>[C@:2]12([H:8])[C:3]([H:9])([H:10])[C@@:4]1([H:11])[C:5]([H:13])([H:14])[C:6]2([H:15])[H:16].[O:1]([H:7])[H:12],96.254
[C:1]1([H:3])([H:12])[C:6]([H:8])([H:15])[C:5]([H:11])([O:13][H:2])[C:4]([H:9])([H:14])[C:10]1([H:7])[H:16]>>[C:3](=[C:4]([H:11])[H:12])([H:9])[H:10].[O:1](/[C:2](=[C:6](\[C:5]([H:13])([H:14])[H:15])[H:16])[H:8])[H:7],108.59933
[C:1]1([H:3])([H:12])[C:6]([H:8])([H:15])[C:5]([H:11])([O:13][H:2])[C:4]([H:9])([H:14])[C:10]1([H:7])[H:16]>>[H:10][H:14].[O:1]([C@:2]1([H:8])[C:3]([H:9])=[C:4]([H:11])[C:5]([H:12])([H:13])[C:6]1([H:15])[H:16])[H:7],106.1555
[C:1]1([H:3])([H:12])[C:6]([H:8])([H:15])[C:5]([H:11])([O:13][H:2])[C:4]([H:9])([H:14])[C:10]1([H:7])[H:16]>>[O:1]([C:2]1([C:6]([C:5]([H:8])([H:13])[H:14])([H:15])[H:16])[C:3]([H:9])([H:10])[C:4]1([H:11])[H:12])[H:7],116.28447
[C:1]1([H:3])([H:12])[C:6]([H:8])([H:15])[C:5]([H:11])([O:13][H:2])[C:4]([H:9])([H:14])[C:10]1([H:7])[H:16]>>[H:8][H:15].[O:1]([C:2]1=[C:6]([H:16])[C:5]([H:13])([H:14])[C:4]([H:11])([H:12])[C:3]1([H:9])[H:10])[H:7],119.7306
[C:1]1([H:3])([H:12])[C:6]([H:8])([H:15])[C:5]([H:11])([O:13][H:2])[C:4]([H:9])([H:14])[C:10]1([H:7])[H:16]>>[O:1]=[C:2]([C:6]([C:5]([C:4]([C:3]([H:7])([H:9])[H:10])([H:11])[H:12])([H:13])[H:14])([H:15])[H:16])[H:8],79.0211
[C:1]1([H:3])([H:12])[C:6]([H:8])([H:15])[C:5]([H:11])([O:13][H:2])[C:4]([H:9])([H:14])[C:10]1([H:7])[H:16]>>[H:7][H:9].[O:1]=[C:2]([C:3]1([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:8],103.78744
[C:1]1([H:3])([H:12])[C:6]([H:8])([H:15])[C:5]([H:11])([O:13][H:2])[C:4]([H:9])([H:14])[C:10]1([H:7])[H:16]>>[H:11][H:13].[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:12])=[C:5]([H:14])[C:6]1([H:15])[H:16])[H:7],115.98983
[C:1]1([H:3])([H:12])[C:6]([H:8])([H:15])[C:5]([H:11])([O:13][H:2])[C:4]([H:9])([H:14])[C:10]1([H:7])[H:16]>>[O:1]([C:6]([C:5]([C:4]([C:3]([C:2][H:8])([H:9])[H:10])([H:11])[H:12])([H:13])[H:14])([H:15])[H:16])[H:7],115.71548
[C:1]1([H:3])([H:12])[C:6]([H:8])([H:15])[C:5]([H:11])([O:13][H:2])[C:4]([H:9])([H:14])[C:10]1([H:7])[H:16]>>[O:1]([C@:2]1([H:8])[C:3]([H:9])([H:10])[C@@:4]1([C:5]([C:6]([H:12])([H:15])[H:16])([H:13])[H:14])[H:11])[H:7],119.42386
[C:1]1([H:3])([H:12])[C:6]([H:8])([H:15])[C:5]([H:11])([O:13][H:2])[C:4]([H:9])([H:14])[C:10]1([H:7])[H:16]>>[C:3]1([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16].[O:1]([C:2][H:8])[H:7],137.06258
[C:1]1([H:3])([H:12])[C:6]([H:8])([H:15])[C:5]([H:11])([O:13][H:2])[C:4]([H:9])([H:14])[C:10]1([H:7])[H:16]>>[O:1]([C:4]([C:5]([C:6]([C:2](=[C:3]([H:9])[H:10])[H:8])([H:15])[H:16])([H:13])[H:14])([H:11])[H:12])[H:7],102.18914
[H:1][C:10]([H:3])([H:4])/[N:6]=[C:5](\[H:7])[N:8]([C:2]([H:9])=[O:11])[H:12]>>[C:1]([O:6]/[C:5](=[N:4]\[H:11])[H:12])([H:7])([H:8])[H:9].[N:2]#[C:3][H:10],107.32878999999998
[H:1][C:10]([H:3])([H:4])/[N:6]=[C:5](\[H:7])[N:8]([C:2]([H:9])=[O:11])[H:12]>>[C:1](/[N:2]=[C:3](/[N+:4](=[C-:5][O:6][H:12])[H:11])[H:10])([H:7])([H:8])[H:9],72.22379000000002
[H:1][C:10]([H:3])([H:4])/[N:6]=[C:5](\[H:7])[N:8]([C:2]([H:9])=[O:11])[H:12]>>[C:1]([N+:2](=[C-:3][N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9],70.69436
[H:1][C:10]([H:3])([H:4])/[N:6]=[C:5](\[H:7])[N:8]([C:2]([H:9])=[O:11])[H:12]>>[C:1](/[N:2]=[C:3](\[O:6]/[C:5](=[N:4]/[H:11])[H:12])[H:10])([H:7])([H:8])[H:9],50.38201
[H:1][C:10]([H:3])([H:4])/[N:6]=[C:5](\[H:7])[N:8]([C:2]([H:9])=[O:11])[H:12]>>[C-:5]#[O+:6].[C:1]([N:2](/[C:3](=[N:4]/[H:11])[H:10])[H:12])([H:7])([H:8])[H:9],43.51054
[H:1][C:10]([H:3])([H:4])/[N:6]=[C:5](\[H:7])[N:8]([C:2]([H:9])=[O:11])[H:12]>>[C:1]([N:4]([C:5](=[O:6])[H:12])[H:11])([H:7])([H:8])[H:9].[N:2]#[C:3][H:10],98.04276
[H:1][C:10]([H:3])([H:4])/[N:6]=[C:5](\[H:7])[N:8]([C:2]([H:9])=[O:11])[H:12]>>[C:1]([N:2]1[C@:3]2([H:10])[N:4]([H:11])[C@:5]2([H:12])[O:6]1)([H:7])([H:8])[H:9],116.69467
[H:1][C:10]([H:3])([H:4])/[N:6]=[C:5](\[H:7])[N:8]([C:2]([H:9])=[O:11])[H:12]>>[C-:1]([N+:2](=[C:3]([N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])[H:7])([H:8])[H:9],78.03220999999998
[H:1][C:10]([H:3])([H:4])/[N:6]=[C:5](\[H:7])[N:8]([C:2]([H:9])=[O:11])[H:12]>>[C:1](=[N:2][C:3]([N:4]([C:5](=[O:6])[H:12])[H:11])([H:7])[H:10])([H:8])[H:9],80.22594000000002
[H:1][C:10]([H:3])([H:4])/[N:6]=[C:5](\[H:7])[N:8]([C:2]([H:9])=[O:11])[H:12]>>[C:1]([N:2](/[C:3](=[N:4]/[C:5](=[O:6])[H:12])[H:10])[H:11])([H:7])([H:8])[H:9],44.29001
[H:1][C:10]([H:3])([H:4])/[N:6]=[C:5](\[H:7])[N:8]([C:2]([H:9])=[O:11])[H:12]>>[C:1](/[N:2]=[C:3](/[N:4]=[C:5](/[O:6][H:11])[H:12])[H:10])([H:7])([H:8])[H:9],45.24489000000001
[H:1][C:10]([H:3])([H:4])/[N:6]=[C:5](\[H:7])[N:8]([C:2]([H:9])=[O:11])[H:12]>>[C:1](=[N:2][C@:3]1([H:10])[N:4]([H:11])[C@@:5]1([O:6][H:7])[H:12])([H:8])[H:9],86.12677
[O:1]([C:5]([H:8])([H:10])[H:12])[C:11]([H:3])([C:6]([C:4]#[N:2])([H:9])[H:13])[H:7]>>[C:1]([O:2][C:3]([N:6]=[C:5]=[C:4]([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],75.54618
[O:1]([C:5]([H:8])([H:10])[H:12])[C:11]([H:3])([C:6]([C:4]#[N:2])([H:9])[H:13])[H:7]>>[C:1]([O:2][H:12])([H:7])([H:8])[H:9].[C:3](=[C:4]([C:5]#[N:6])[H:13])([H:10])[H:11],58.85652
[O:1]([C:5]([H:8])([H:10])[H:12])[C:11]([H:3])([C:6]([C:4]#[N:2])([H:9])[H:13])[H:7]>>[C:1]([O:2][C:3]([C:4]([N+:6]#[C-:5])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],59.73369
[O:1]([C:5]([H:8])([H:10])[H:12])[C:11]([H:3])([C:6]([C:4]#[N:2])([H:9])[H:13])[H:7]>>[C:1]([N:6]=[C:5]=[C:4]([H:12])[H:13])([H:7])([H:8])[H:9].[O:2]=[C:3]([H:10])[H:11],91.18199
[O:1]([C:5]([H:8])([H:10])[H:12])[C:11]([H:3])([C:6]([C:4]#[N:2])([H:9])[H:13])[H:7]>>[C:1]([O:2][C:3](=[C:4]([H:12])[H:13])[H:11])([H:7])([H:8])[H:9].[C:5](#[N:6])[H:10],84.3233
[O:1]=[C:6]([H:9])[C:10]([O:2][C:5]([H:3])([H:4])[H:8])([H:7])[H:11]>>[C:1]([O:2][C@@:3]1([H:10])[C:4]([H:9])([H:11])[O:5]1)([H:6])([H:7])[H:8],66.42035
[O:1]=[C:6]([H:9])[C:10]([O:2][C:5]([H:3])([H:4])[H:8])([H:7])[H:11]>>[C:1](=[O+:2][C:3](=[C:4]([O-:5])[H:11])[H:10])([H:6])[H:8].[H:7][H:9],74.59470999999998
[O:1]=[C:6]([H:9])[C:10]([O:2][C:5]([H:3])([H:4])[H:8])([H:7])[H:11]>>[C:1]([O:2][C:3]([O+:5]=[C-:4][H:11])([H:9])[H:10])([H:6])([H:7])[H:8],100.69992
[O:1]=[C:6]([H:9])[C:10]([O:2][C:5]([H:3])([H:4])[H:8])([H:7])[H:11]>>[C:1]([O:2][O:5][C:4](=[C:3]([H:9])[H:10])[H:11])([H:6])([H:7])[H:8],87.96627
[O:1]=[C:6]([H:9])[C:10]([O:2][C:5]([H:3])([H:4])[H:8])([H:7])[H:11]>>[C:1](=[O:2])([H:6])[H:8].[C:3](=[C:4]([O:5][H:7])[H:11])([H:9])[H:10],56.80752
[O:1]=[C:6]([H:9])[C:10]([O:2][C:5]([H:3])([H:4])[H:8])([H:7])[H:11]>>[C+:1]([C@:4]([C:3]([O:2][H:7])([H:9])[H:10])([O-:5])[H:11])([H:6])[H:8],86.59683000000003
[C:1]([C:5]([C:6]([H:3])([H:7])[H:15])([C:12]([H:2])([H:8])[H:11])[H:13])([H:9])([C:10]#[N:4])[H:14]>>[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C:4]([N+:6]#[C-:5])([H:14])[H:15])[H:10])([H:7])([H:8])[H:9],59.30894
[C:1]([C:5]([C:6]([H:3])([H:7])[H:15])([C:12]([H:2])([H:8])[H:11])[H:13])([H:9])([C:10]#[N:4])[H:14]>>[C:1](=[C:2]([C:3]([H:11])([H:12])[H:13])[H:10])([H:7])[H:8].[C:4]1([H:14])([H:15])[C:5]([H:9])=[N:6]1,99.96469
[C:1]([C:5]([C:6]([H:3])([H:7])[H:15])([C:12]([H:2])([H:8])[H:11])[H:13])([H:9])([C:10]#[N:4])[H:14]>>[C:1]([C@:2]1([H:10])[C:5]([C:4]([C:3]([H:11])([H:12])[H:13])([H:14])[H:15])=[N:6]1)([H:7])([H:8])[H:9],148.02635
[C:1]([C:5]([C:6]([H:3])([H:7])[H:15])([C:12]([H:2])([H:8])[H:11])[H:13])([H:9])([C:10]#[N:4])[H:14]>>[C:1]([C:2]([C:3]([N:6]=[C:5]=[C:4]([H:14])[H:15])([H:11])[H:13])([H:10])[H:12])([H:7])([H:8])[H:9],99.14967
[C:1]([C:5]([C:6]([H:3])([H:7])[H:15])([C:12]([H:2])([H:8])[H:11])[H:13])([H:9])([C:10]#[N:4])[H:14]>>[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C:4](=[C:5]=[N:6][H:15])[H:14])[H:10])([H:7])([H:8])[H:9],91.99066
[C:1]([C:5]([C:6]([H:3])([H:7])[H:15])([C:12]([H:2])([H:8])[H:11])[H:13])([H:9])([C:10]#[N:4])[H:14]>>[C:1]([C:2](=[C:3]([H:11])[H:12])[H:10])([H:7])([H:8])[H:9].[C:4](=[C:5]=[N:6][H:13])([H:14])[H:15],68.38353000000001
[C:1]([C:5]([C:6]([H:3])([H:7])[H:15])([C:12]([H:2])([H:8])[H:11])[H:13])([H:9])([C:10]#[N:4])[H:14]>>[C:1]([C:2]1([H:10])[C:3]([H:11])([H:12])/[C:5](=[N:6]/[H:13])[C:4]1([H:14])[H:15])([H:7])([H:8])[H:9],101.62226
[C:1]([C:5]([C:6]([H:3])([H:7])[H:15])([C:12]([H:2])([H:8])[H:11])[H:13])([H:9])([C:10]#[N:4])[H:14]>>[C:1]([C@@:2]1([H:10])[C:3]([H:11])([H:12])[N:6]([H:13])[C:5][C:4]1([H:14])[H:15])([H:7])([H:8])[H:9],91.6563
[C:1]([C:5]([C:6]([H:3])([H:7])[H:15])([C:12]([H:2])([H:8])[H:11])[H:13])([H:9])([C:10]#[N:4])[H:14]>>[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])=[C:4]([C:5]#[N:6])[H:14])([H:7])([H:8])[H:9].[H:10][H:15],100.00654
[C:1]([H:3])([C:5]([H:2])([H:8])[H:10])([C:11]([C:6](=[O:4])[H:9])([H:7])[H:13])[H:12]>>[C:1]([C:2]([C:3]([O+:5]=[C-:4][H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8],113.08191
[C:1]([H:3])([C:5]([H:2])([H:8])[H:10])([C:11]([C:6](=[O:4])[H:9])([H:7])[H:13])[H:12]>>[C:1]([C:2](=[C:3]([H:11])[H:12])[H:10])([H:6])([H:7])[H:8].[C:4](=[O:5])([H:9])[H:13],75.45451
[C:1]([H:3])([C:5]([H:2])([H:8])[H:10])([C:11]([C:6](=[O:4])[H:9])([H:7])[H:13])[H:12]>>[C:1](=[C:2]([H:9])[H:10])([H:6])[H:8].[C:3](=[C:4]([O:5][H:7])[H:13])([H:11])[H:12],58.89712
[C:1]([H:3])([C:5]([H:2])([H:8])[H:10])([C:11]([C:6](=[O:4])[H:9])([H:7])[H:13])[H:12]>>[C:1]([H:6])([H:7])([H:8])[H:11].[C:2](=[C:3]([C:4](=[O:5])[H:13])[H:12])([H:9])[H:10],95.23448
[C:1]([H:3])([C:5]([H:2])([H:8])[H:10])([C:11]([C:6](=[O:4])[H:9])([H:7])[H:13])[H:12]>>[C-:4]#[O+:5].[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([H:9])[H:10])([H:6])([H:7])[H:8],83.59612
[C:1]([H:3])([C:5]([H:2])([H:8])[H:10])([C:11]([C:6](=[O:4])[H:9])([H:7])[H:13])[H:12]>>[C:1]([C:2]([O:5][C:4](=[C:3]([H:11])[H:12])[H:13])([H:9])[H:10])([H:6])([H:7])[H:8],89.5795
[C:1]([H:3])([C:5]([H:2])([H:8])[H:10])([C:11]([C:6](=[O:4])[H:9])([H:7])[H:13])[H:12]>>[C:1]([C:2](/[C:3](=[C:4](\[O:5][H:11])[H:13])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8],71.02608000000002
[C:1]([H:3])([C:5]([H:2])([H:8])[H:10])([C:11]([C:6](=[O:4])[H:9])([H:7])[H:13])[H:12]>>[C:1]([C@@:2]1([H:10])[C:3]([H:11])([H:12])[C@:4]1([O:5][H:9])[H:13])([H:6])([H:7])[H:8],79.21441999999998
[c:1]1([H:9])[n:6]([H:11])[c:10]([H:7])[c:2]([N:5]([H:3])[H:4])[n:8]1>>[N:1]([C:2]1=[N:6][C:5]([H:11])=[N:4][C:3]1([H:9])[H:10])([H:7])[H:8],44.07153
[c:1]1([H:9])[n:6]([H:11])[c:10]([H:7])[c:2]([N:5]([H:3])[H:4])[n:8]1>>[N:1]([C:2]1=[N:6][C@:3]1(/[C:5](=[N:4]/[H:10])[H:11])[H:9])([H:7])[H:8],103.42911
[c:1]1([H:9])[n:6]([H:11])[c:10]([H:7])[c:2]([N:5]([H:3])[H:4])[n:8]1>>[N:1](=[C:2]1/[C:3]([H:8])([H:9])[N:4]([H:10])[C:5]([H:11])=[N:6]1)\[H:7],74.2526
[c:1]1([H:9])[n:6]([H:11])[c:10]([H:7])[c:2]([N:5]([H:3])[H:4])[n:8]1>>[N:1]([C@@:2]1(/[C:3](=[N:4]/[H:10])[H:9])[C:5]([H:11])=[N:6]1)([H:7])[H:8],98.794
[c:1]1([H:9])[n:6]([H:11])[c:10]([H:7])[c:2]([N:5]([H:3])[H:4])[n:8]1>>[C:5](#[N:6])[H:11].[N:1]([C:2]/[C:3](=[N:4]/[H:10])[H:9])([H:7])[H:8],84.32625
[c:1]1([H:9])[n:6]([H:11])[c:10]([H:7])[c:2]([N:5]([H:3])[H:4])[n:8]1>>[N:1]([C:2]1=[C:3]([H:9])[N:4]([H:10])[C:5][N:6]1[H:11])([H:7])[H:8],68.62703
[c:1]1([H:9])[n:6]([H:11])[c:10]([H:7])[c:2]([N:5]([H:3])[H:4])[n:8]1>>[N+:1]([c:2]1[c-:3][n:4]([H:10])[c:5]([H:11])[n:6]1)([H:7])([H:8])[H:9],74.94034
[c:1]1([H:9])[n:6]([H:11])[c:10]([H:7])[c:2]([N:5]([H:3])[H:4])[n:8]1>>[N:1](=[C:2]1[C-:3]([H:9])[N+:4]([H:8])([H:10])[C:5]([H:11])=[N:6]1)[H:7],116.19069
[c:1]1([H:9])[n:6]([H:11])[c:10]([H:7])[c:2]([N:5]([H:3])[H:4])[n:8]1>>[N:1]([C:2]1=[N:6][C:5]([H:10])([H:11])[N:4]=[C:3]1[H:9])([H:7])[H:8],42.75096
[c:1]1([H:9])[n:6]([H:11])[c:10]([H:7])[c:2]([N:5]([H:3])[H:4])[n:8]1>>[N-:1]([c:2]1[c:3]([H:9])[n+:4]([H:10])[c:5]([H:11])[n:6]1[H:7])[H:8],60.51886
[c:1]1([H:9])[n:6]([H:11])[c:10]([H:7])[c:2]([N:5]([H:3])[H:4])[n:8]1>>[N:1]([C:2]#[N+:6][C-:5]([N+:4](=[C-:3][H:9])[H:10])[H:11])([H:7])[H:8],98.11207
[c:1]1([H:9])[n:6]([H:11])[c:10]([H:7])[c:2]([N:5]([H:3])[H:4])[n:8]1>>[N:1]([C@:2]1([H:9])[C-:3]=[N+:4]([H:10])[C:5]([H:11])=[N:6]1)([H:7])[H:8],61.58283
[c:1]1([H:9])[n:6]([H:11])[c:10]([H:7])[c:2]([N:5]([H:3])[H:4])[n:8]1>>[N:1]([C:2](/[C:3](=[N:4]/[H:10])[H:9])=[N+:6]=[C-:5][H:11])([H:7])[H:8],67.14405
[C@@:1]12([H:12])[N:2]3[C@@:4]([H:9])([C:5]1([H:8])[H:10])[C:6]([H:7])([H:13])[C@@:11]23[H:3]>>[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C@@:3]3([H:10])[C@@:4]([H:12])([C:5]1([H:11])[H:13])[N:6]23,67.43646
[C@@:1]12([H:12])[N:2]3[C@@:4]([H:9])([C:5]1([H:8])[H:10])[C:6]([H:7])([H:13])[C@@:11]23[H:3]>>[C:1]([C@@:2]1([H:9])[C@@:3]2([H:10])[C:4]([H:11])([H:12])[C:5]([H:8])([H:13])[N:6]12)[H:7],87.78411
[C@@:1]12([H:12])[N:2]3[C@@:4]([H:9])([C:5]1([H:8])[H:10])[C:6]([H:7])([H:13])[C@@:11]23[H:3]>>[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C@@:3]([H:10])([C:4]([H:11])([H:12])[C:5]1)[N:6]2[H:13],64.7911
[C@@:1]12([H:12])[N:2]3[C@@:4]([H:9])([C:5]1([H:8])[H:10])[C:6]([H:7])([H:13])[C@@:11]23[H:3]>>[C:1]1([H:7])([H:8])[C@:2]([C:3](=[C:4]([H:11])[H:12])[H:10])([H:9])[N:6]=[C:5]1[H:13],48.94916
[C@@:1]12([H:12])[N:2]3[C@@:4]([H:9])([C:5]1([H:8])[H:10])[C:6]([H:7])([H:13])[C@@:11]23[H:3]>>[C:1](=[C:5]([C:4]([C@:3]1([H:10])[C:2]([H:9])=[N:6]1)([H:11])[H:12])[H:13])([H:7])[H:8],73.26969
[C@@:1]12([H:12])[N:2]3[C@@:4]([H:9])([C:5]1([H:8])[H:10])[C:6]([H:7])([H:13])[C@@:11]23[H:3]>>[C:1]([C:2][H:9])([C@:5]1([H:13])[C:4]([H:11])([H:12])[C:3]([H:10])=[N:6]1)([H:7])[H:8],65.13054
[C@@:1]12([H:12])[N:2]3[C@@:4]([H:9])([C:5]1([H:8])[H:10])[C:6]([H:7])([H:13])[C@@:11]23[H:3]>>[C:1]1([H:7])([H:8])[C:2][C@@:3]2([H:10])[C:4]([H:11])([H:12])[C@:5]1([H:13])[N:6]2[H:9],55.39236
[C@@:1]12([H:12])[N:2]3[C@@:4]([H:9])([C:5]1([H:8])[H:10])[C:6]([H:7])([H:13])[C@@:11]23[H:3]>>[C:1]1([H:7])=[C:2]([H:9])[N:6]2[C:3]([H:8])([H:10])[C:4]([H:11])([H:12])[C@@:5]12[H:13],97.93085
[C@@:1]12([H:12])[C@:2]3([H:9])[N:4]([H:13])[C@:6]3([H:7])[C@:11]1([H:3])[C:5]2([H:8])[H:10]>>[C:1]1([H:7])([H:8])[C:2][C@@:6]2([H:13])[C@@:4]([H:11])([C:3]1([H:9])[H:10])[N:5]2[H:12],52.43458
