,Unnamed: 0,rxn_id,rxn_smiles,solvent,temp,G_act,G_r,rxn_smiles_random,rxn_smiles_rxnmapper,rxn_smiles_nomapping
10,10,10,[CH2:1]=[C:2]([CH3:3])[CH3:4].[CH3:5][C-:6]([C:7]#[N:8])[N+:9]#[C:10][C:11]#[N:12]>>[CH2:1]1[C:2]([CH3:3])([CH3:4])[C:6]([CH3:5])([C:7]#[N:8])[N:9]=[C:10]1[C:11]#[N:12],water,298.15,13.6040048013695,-51.0081263967199,[CH2:1]=[C:2]([CH3:3])[CH3:4].[CH3:5][C-:6]([C:7]#[N:8])[N+:9]#[C:10][C:11]#[N:12]>>[CH3:1][C:5]1([CH3:10])[C:4]([CH3:2])([C:6]#[N:9])[N:12]=[C:3]([C:11]#[N:8])[CH2:7]1,[CH3:1][C:2]([CH3:3])=[CH2:4].[C:5]([C:6]#[N:7])#[N+:8][C-:9]([CH3:10])[C:11]#[N:12]>>[CH3:1][C:2]1([CH3:3])[CH2:4][C:5]([C:6]#[N:7])=[N:8][C:9]1([CH3:10])[C:11]#[N:12],[CH2]=[C]([CH3])[CH3].[CH3][C-]([C]#[N])[N+]#[C][C]#[N]>>[CH2]1[C]([CH3])([CH3])[C]([CH3])([C]#[N])[N]=[C]1[C]#[N]
11,11,13,[CH3:1][O:2][C:3]#[C:4][O:5][CH3:6].[CH3:7][C:8]([CH3:9])=[NH+:10][O-:11]>>[CH3:1][O:2][C:3]1=[C:4]([O:5][CH3:6])[O:11][NH:10][C:8]1([CH3:7])[CH3:9],water,298.15,29.721687410399,-31.8606828609928,[CH3:1][O:2][C:3]#[C:4][O:5][CH3:6].[CH3:7][C:8]([CH3:9])=[NH+:10][O-:11]>>[CH3:1][O:5][C:4]1=[C:6]([O:2][CH3:8])[O:11][NH:10][C:9]1([CH3:3])[CH3:7],[C:7]([CH3:8])([CH3:9])=[NH+:10][O-:11].[CH3:1][O:2][C:3]#[C:4][O:5][CH3:6]>>[CH3:1][O:2][C:3]1=[C:4]([O:5][CH3:6])[C:7]([CH3:8])([CH3:9])[NH:10][O:11]1,[CH3][O][C]#[C][O][CH3].[CH3][C]([CH3])=[NH+][O-]>>[CH3][O][C]1=[C]([O][CH3])[O][NH][C]1([CH3])[CH3]
12,12,14,[CH3:4][O:5][C:6](=[O:7])[N-:8][NH+:9]=[C:10]([CH3:11])[C:12]#[N:13].[CH:1]#[C:2][CH3:3]>>[CH:1]1=[C:2]([CH3:3])[C:10]([CH3:11])([C:12]#[N:13])[NH:9][N:8]1[C:6]([O:5][CH3:4])=[O:7],water,298.15,30.6281520882252,-29.2006156581395,[CH3:4][O:5][C:6](=[O:7])[N-:8][NH+:9]=[C:10]([CH3:11])[C:12]#[N:13].[CH:1]#[C:2][CH3:3]>>[C:1]1([CH3:4])=[CH:12][N:8]([C:6]([O:5][CH3:3])=[O:7])[NH:9][C:2]1([C:10]#[N:13])[CH3:11],[CH:6]#[C:7][CH3:8].[CH3:1][O:2][C:3](=[O:4])[N-:5][NH+:13]=[C:9]([CH3:10])[C:11]#[N:12]>>[CH3:1][O:2][C:3](=[O:4])[N:5]1[CH:6]=[C:7]([CH3:8])[C:9]([CH3:10])([C:11]#[N:12])[NH:13]1,[CH3][O][C](=[O])[N-][NH+]=[C]([CH3])[C]#[N].[CH]#[C][CH3]>>[CH]1=[C]([CH3])[C]([CH3])([C]#[N])[NH][N]1[C]([O][CH3])=[O]
13,13,15,[CH3:4][O:5][C:6](=[O:7])[N-:8][NH+:9]=[C:10]([CH3:11])[C:12]#[N:13].[CH:1]#[C:2][CH3:3]>>[CH:1]1=[C:2]([CH3:3])[N:8]([C:6]([O:5][CH3:4])=[O:7])[NH:9][C:10]1([CH3:11])[C:12]#[N:13],water,298.15,27.2683061974093,-30.3943594141127,[CH3:4][O:5][C:6](=[O:7])[N-:8][NH+:9]=[C:10]([CH3:11])[C:12]#[N:13].[CH:1]#[C:2][CH3:3]>>[C:1](#[N:8])[C:10]1([CH3:12])[CH:3]=[C:11]([CH3:4])[N:9]([C:2](=[O:5])[O:7][CH3:6])[NH:13]1,[CH:11]#[C:12][CH3:13].[CH3:1][O:2][C:3](=[O:4])[N-:5][NH+:6]=[C:7]([CH3:8])[C:9]#[N:10]>>[CH3:1][O:2][C:3](=[O:4])[N:5]1[NH:6][C:7]([CH3:8])([C:9]#[N:10])[CH:11]=[C:12]1[CH3:13],[CH3][O][C](=[O])[N-][NH+]=[C]([CH3])[C]#[N].[CH]#[C][CH3]>>[CH]1=[C]([CH3])[N]([C]([O][CH3])=[O])[NH][C]1([CH3])[C]#[N]
14,14,16,[CH3:1][C:2]#[C:3][CH3:4].[CH3:5][C:6]([C:7]#[N:8])=[NH+:9][C-:10]([C:11]#[N:12])[C:13]#[N:14]>>[CH3:1][C:2]1=[C:3]([CH3:4])[C:10]([C:11]#[N:12])([C:13]#[N:14])[NH:9][C:6]1([CH3:5])[C:7]#[N:8],water,298.15,24.1675734647148,-34.1256400091436,[CH3:1][C:2]#[C:3][CH3:4].[CH3:5][C:6]([C:7]#[N:8])=[NH+:9][C-:10]([C:11]#[N:12])[C:13]#[N:14]>>[C:1]1([CH3:4])=[C:5]([CH3:10])[C:6]([CH3:2])([C:11]#[N:9])[NH:14][C:3]1([C:7]#[N:8])[C:13]#[N:12],[CH3:1][C:2]#[C:3][CH3:4].[C-:5]([C:6]#[N:7])([C:8]#[N:9])[NH+:10]=[C:11]([CH3:12])[C:13]#[N:14]>>[CH3:1][C:2]1=[C:3]([CH3:4])[C:5]([C:6]#[N:7])([C:8]#[N:9])[NH:10][C:11]1([CH3:12])[C:13]#[N:14],[CH3][C]#[C][CH3].[CH3][C]([C]#[N])=[NH+][C-]([C]#[N])[C]#[N]>>[CH3][C]1=[C]([CH3])[C]([C]#[N])([C]#[N])[NH][C]1([CH3])[C]#[N]
15,15,17,[CH3:1][C:2]#[C:3][F:4].[CH3:5][C:6](=[O:7])[CH:8]=[O+:9][CH-:10][C:11]([CH3:12])=[O:13]>>[CH3:1][C:2]1=[C:3]([F:4])[CH:10]([C:11]([CH3:12])=[O:13])[O:9][CH:8]1[C:6]([CH3:5])=[O:7],water,298.15,9.28855488385159,-80.3234203575774,[CH3:1][C:2]#[C:3][F:4].[CH3:5][C:6](=[O:7])[CH:8]=[O+:9][CH-:10][C:11]([CH3:12])=[O:13]>>[CH3:1][C:8]([CH:5]1[O:7][CH:6]([C:11]([CH3:3])=[O:13])[C:12]([F:4])=[C:10]1[CH3:2])=[O:9],[C:10]([F:11])#[C:12][CH3:13].[CH3:1][C:2](=[O:3])[CH:4]=[O+:5][CH-:6][C:7]([CH3:8])=[O:9]>>[CH3:1][C:2](=[O:3])[CH:4]1[O:5][CH:6]([C:7]([CH3:8])=[O:9])[C:10]([F:11])=[C:12]1[CH3:13],[CH3][C]#[C][F].[CH3][C](=[O])[CH]=[O+][CH-][C]([CH3])=[O]>>[CH3][C]1=[C]([F])[CH]([C]([CH3])=[O])[O][CH]1[C]([CH3])=[O]
16,16,18,[CH2:10]=[NH+:11][CH-:12][CH3:13].[F:1][C:2]1=[C:3]([F:4])[CH:5]2[CH:6]=[CH:7][CH:8]1[O:9]2>>[F:1][C:2]12[C:3]([F:4])([CH:5]3[CH:6]=[CH:7][CH:8]1[O:9]3)[CH:12]([CH3:13])[NH:11][CH2:10]2,water,298.15,6.57697740396418,-74.9917929224304,[CH2:10]=[NH+:11][CH-:12][CH3:13].[F:1][C:2]1=[C:3]([F:4])[CH:5]2[CH:6]=[CH:7][CH:8]1[O:9]2>>[F:1][C:7]12[CH2:3][NH:11][CH:5]([CH3:10])[C:8]1([F:4])[CH:2]1[O:9][CH:13]2[CH:6]=[CH:12]1,[CH3:1][CH-:4][NH+:3]=[CH2:2].[C:5]1([F:6])=[C:12]([F:13])[CH:10]2[CH:9]=[CH:8][CH:7]1[O:11]2>>[CH3:1][CH:2]1[NH:3][CH2:4][C:5]2([F:6])[CH:7]3[CH:8]=[CH:9][CH:10]([O:11]3)[C:12]12[F:13],[CH2]=[NH+][CH-][CH3].[F][C]1=[C]([F])[CH]2[CH]=[CH][CH]1[O]2>>[F][C]12[C]([F])([CH]3[CH]=[CH][CH]1[O]3)[CH]([CH3])[NH][CH2]2
17,17,19,[CH2:10]=[NH+:11][CH-:12][CH3:13].[F:1][C:2]1=[C:3]([F:4])[CH:5]2[CH:6]=[CH:7][CH:8]1[O:9]2>>[F:1][C:2]1=[C:3]([F:4])[CH:5]2[CH:6]3[CH:7]([CH:8]1[O:9]2)[CH:12]([CH3:13])[NH:11][CH2:10]3,water,298.15,10.6004511112915,-58.750853794632,[CH2:10]=[NH+:11][CH-:12][CH3:13].[F:1][C:2]1=[C:3]([F:4])[CH:5]2[CH:6]=[CH:7][CH:8]1[O:9]2>>[F:1][C:2]1=[C:13]([F:4])[CH:6]2[CH:3]3[CH:8]([CH:5]1[O:9]2)[CH2:10][NH:11][CH:12]3[CH3:7],[CH3:1][CH-:4][NH+:3]=[CH2:2].[CH:5]1=[CH:13][CH:8]2[O:7][CH:6]1[C:11]([F:12])=[C:9]2[F:10]>>[CH3:1][CH:2]1[NH:3][CH2:4][CH:5]2[CH:6]3[O:7][CH:8]([C:9]([F:10])=[C:11]3[F:12])[CH:13]12,[CH2]=[NH+][CH-][CH3].[F][C]1=[C]([F])[CH]2[CH]=[CH][CH]1[O]2>>[F][C]1=[C]([F])[CH]2[CH]3[CH]([CH]1[O]2)[CH]([CH3])[NH][CH2]3
18,18,20,[CH3:10][CH:11]=[N+:12]([CH3:13])[NH-:14].[CH3:1][C:2]([C:3]#[N:4])=[C:5]([C:6]#[N:7])[C:8]#[N:9]>>[CH3:1][C:2]1([C:3]#[N:4])[C:5]([C:6]#[N:7])([C:8]#[N:9])[NH:14][N:12]([CH3:13])[CH:11]1[CH3:10],water,298.15,6.16037238301325,-6.65841554623871,[CH3:10][CH:11]=[N+:12]([CH3:13])[NH-:14].[CH3:1][C:2]([C:3]#[N:4])=[C:5]([C:6]#[N:7])[C:8]#[N:9]>>[CH3:1][CH:11]1[C:2]([C:6]#[N:12])([CH3:13])[C:3]([C:5]#[N:4])([C:8]#[N:14])[NH:7][N:9]1[CH3:10],[C:6]([C:7]#[N:8])([C:9]#[N:10])=[C:11]([CH3:12])[C:13]#[N:14].[CH3:1][CH:2]=[N+:3]([CH3:4])[NH-:5]>>[CH3:1][CH:2]1[N:3]([CH3:4])[NH:5][C:6]([C:7]#[N:8])([C:9]#[N:10])[C:11]1([CH3:12])[C:13]#[N:14],[CH3][CH]=[N+]([CH3])[NH-].[CH3][C]([C]#[N])=[C]([C]#[N])[C]#[N]>>[CH3][C]1([C]#[N])[C]([C]#[N])([C]#[N])[NH][N]([CH3])[CH]1[CH3]
19,19,22,[CH3:1][O:2][C:3]([O:4][CH3:5])=[C:6]([F:7])[F:8].[CH3:9][C-:10]([CH3:11])[N+:12]#[N:13]>>[CH3:1][O:2][C:3]1([O:4][CH3:5])[C:6]([F:7])([F:8])[C:10]([CH3:9])([CH3:11])[N:12]=[N:13]1,water,298.15,24.0747728155878,-31.2935423608855,[CH3:1][O:2][C:3]([O:4][CH3:5])=[C:6]([F:7])[F:8].[CH3:9][C-:10]([CH3:11])[N+:12]#[N:13]>>[C:1]1([CH3:3])([CH3:6])[C:11]([F:7])([F:8])[C:10]([O:2][CH3:9])([O:4][CH3:5])[N:13]=[N:12]1,[CH3:1][O:2][C:3]([O:4][CH3:5])=[C:11]([F:12])[F:13].[N:6]#[N+:7][C-:8]([CH3:9])[CH3:10]>>[CH3:1][O:2][C:3]1([O:4][CH3:5])[N:6]=[N:7][C:8]([CH3:9])([CH3:10])[C:11]1([F:12])[F:13],[CH3][O][C]([O][CH3])=[C]([F])[F].[CH3][C-]([CH3])[N+]#[N]>>[CH3][O][C]1([O][CH3])[C]([F])([F])[C]([CH3])([CH3])[N]=[N]1
20,20,23,[CH3:1][O:2][C:3]([O:4][CH3:5])=[C:6]([F:7])[F:8].[CH3:9][C-:10]([CH3:11])[N+:12]#[N:13]>>[CH3:1][O:2][C:3]1([O:4][CH3:5])[C:6]([F:7])([F:8])[N:13]=[N:12][C:10]1([CH3:9])[CH3:11],water,298.15,26.6741480581028,-27.1908286539388,[CH3:1][O:2][C:3]([O:4][CH3:5])=[C:6]([F:7])[F:8].[CH3:9][C-:10]([CH3:11])[N+:12]#[N:13]>>[CH3:1][O:2][C:3]1([O:4][CH3:5])[C:10]([F:7])([F:8])[N:13]=[N:12][C:11]1([CH3:6])[CH3:9],[CH3:1][O:2][C:3]([O:4][CH3:5])=[C:6]([F:12])[F:13].[CH3:7][C-:11]([CH3:8])[N+:10]#[N:9]>>[CH3:1][O:2][C:3]1([O:4][CH3:5])[C:6]([CH3:7])([CH3:8])[N:9]=[N:10][C:11]1([F:12])[F:13],[CH3][O][C]([O][CH3])=[C]([F])[F].[CH3][C-]([CH3])[N+]#[N]>>[CH3][O][C]1([O][CH3])[C]([F])([F])[N]=[N][C]1([CH3])[CH3]
21,21,24,[CH3:7][C:8](=[O:9])[N-:10][O+:11]=[N:12][C:13]#[N:14].[CH:1]#[C:2][C:3](=[O:4])[O:5][CH3:6]>>[CH:1]1=[C:2]([C:3](=[O:4])[O:5][CH3:6])[N:12]([C:13]#[N:14])[O:11][N:10]1[C:8]([CH3:7])=[O:9],water,298.15,4.44820377934332,-73.5387520497008,[CH3:7][C:8](=[O:9])[N-:10][O+:11]=[N:12][C:13]#[N:14].[CH:1]#[C:2][C:3](=[O:4])[O:5][CH3:6]>>[C:1]1([C:3]([O:5][CH3:6])=[O:9])=[CH:13][N:10]([C:8]([CH3:2])=[O:4])[O:11][N:14]1[C:7]#[N:12],[CH3:1][O:2][C:3](=[O:4])[C:5]#[CH:6].[N-:7]([C:8]([CH3:9])=[O:10])[O+:11]=[N:12][C:13]#[N:14]>>[CH3:1][O:2][C:3](=[O:4])[C:5]1=[CH:6][N:7]([C:8]([CH3:9])=[O:10])[O:11][N:12]1[C:13]#[N:14],[CH3][C](=[O])[N-][O+]=[N][C]#[N].[CH]#[C][C](=[O])[O][CH3]>>[CH]1=[C]([C](=[O])[O][CH3])[N]([C]#[N])[O][N]1[C]([CH3])=[O]
22,22,25,[CH3:7][C:8](=[O:9])[N-:10][O+:11]=[N:12][C:13]#[N:14].[CH:1]#[C:2][C:3](=[O:4])[O:5][CH3:6]>>[CH:1]1=[C:2]([C:3](=[O:4])[O:5][CH3:6])[N:10]([C:8]([CH3:7])=[O:9])[O:11][N:12]1[C:13]#[N:14],water,298.15,5.025011958495,-70.4820678722588,[CH3:7][C:8](=[O:9])[N-:10][O+:11]=[N:12][C:13]#[N:14].[CH:1]#[C:2][C:3](=[O:4])[O:5][CH3:6]>>[C:1](=[O:4])([CH3:7])[N:12]1[C:3]([C:6]([O:5][CH3:13])=[O:9])=[CH:8][N:14]([C:2]#[N:10])[O:11]1,[CH3:1][O:2][C:3](=[O:4])[C:5]#[CH:6].[N:7]([C:8]#[N:9])=[O+:10][N-:11][C:12]([CH3:13])=[O:14]>>[CH3:1][O:2][C:3](=[O:4])[C:5]1=[CH:6][N:7]([C:8]#[N:9])[O:10][N:11]1[C:12]([CH3:13])=[O:14],[CH3][C](=[O])[N-][O+]=[N][C]#[N].[CH]#[C][C](=[O])[O][CH3]>>[CH]1=[C]([C](=[O])[O][CH3])[N]([C]([CH3])=[O])[O][N]1[C]#[N]
23,23,26,[CH3:8][N-:9][N+:10]#[C:11][C:12]([CH3:13])=[O:14].[CH:1]1=[CH:2][CH:3]2[CH:4]=[CH:5][CH:6]1[O:7]2>>[CH:1]1=[CH:2][CH:3]2[CH:4]3[CH:5]([CH:6]1[O:7]2)[N:9]([CH3:8])[N:10]=[C:11]3[C:12]([CH3:13])=[O:14],water,298.15,13.9768556664163,-63.6243726193179,[CH3:8][N-:9][N+:10]#[C:11][C:12]([CH3:13])=[O:14].[CH:1]1=[CH:2][CH:3]2[CH:4]=[CH:5][CH:6]1[O:7]2>>[C:1]1([C:5]([CH3:4])=[O:14])=[N:10][N:9]([CH3:8])[CH:11]2[CH:12]1[CH:6]1[CH:3]=[CH:2][CH:13]2[O:7]1,[CH:8]1=[CH:14][CH:12]2[CH:11]=[CH:10][CH:9]1[O:13]2.[CH3:1][C:2](=[O:3])[C:4]#[N+:5][N-:6][CH3:7]>>[CH3:1][C:2](=[O:3])[C:4]1=[N:5][N:6]([CH3:7])[CH:8]2[CH:9]3[CH:10]=[CH:11][CH:12]([O:13]3)[CH:14]12,[CH3][N-][N+]#[C][C]([CH3])=[O].[CH]1=[CH][CH]2[CH]=[CH][CH]1[O]2>>[CH]1=[CH][CH]2[CH]3[CH]([CH]1[O]2)[N]([CH3])[N]=[C]3[C]([CH3])=[O]
